start, end , used, platform
2049792,2041248,8544,linux
2049792,2041248,8544,linux
2055872,2047456,8416,linux
2049632,2040896,8736,linux
2049856,2041280,8576,linux
2049888,2041344,8544,linux
2056160,2047584,8576,linux
2049888,2041344,8544,linux
2049952,2041376,8576,linux
2049952,2041376,8576,linux
2049952,2041376,8576,linux
2049888,2041344,8544,linux
2056160,2047584,8576,linux
2056160,2047584,8576,linux
2056608,2047584,9024,linux
2047840,2041248,6592,linux
2056576,2047552,9024,linux
2056448,2047520,8928,linux
2056448,2047712,8736,linux
2056448,2047712,8736,linux
2056448,2047712,8736,linux
2056480,2047744,8736,linux
2056448,2047680,8768,linux
2056640,2047648,8992,linux
2056640,2047648,8992,linux
2056640,2047648,8992,linux
2056768,2047872,8896,linux
2056320,2047424,8896,linux
2056768,2047872,8896,linux
2056992,2047936,9056,linux
2048416,2041632,6784,linux
2048448,2041824,6624,linux
2057024,2048128,8896,linux
2057024,2048128,8896,linux
2056896,2048128,8768,linux
2056896,2048128,8768,linux
2048320,2041824,6496,linux
2056896,2048128,8768,linux
2048288,2041568,6720,linux
2056896,2048096,8800,linux
2048288,2041568,6720,linux
2048288,2041760,6528,linux
2056896,2048128,8768,linux
2056992,2048192,8800,linux
2048448,2041888,6560,linux
2056960,2048128,8832,linux
2056896,2048128,8768,linux
